# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Projetos\T4BB1\Projeto\circuito\verilog\projeto_final_semana3.csv
# Generated on: Wed Mar 27 12:25:47 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
db_menu[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,2.5 V,,,,,,,,,,,,,
db_menu[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,2.5 V,,,,,,,,,,,,,
db_menu[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,2.5 V,,,,,,,,,,,,,
db_metro,Output,PIN_U2,2A,B2A_N0,PIN_U2,2.5 V,,,,,,,,,,,,,
db_modo[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,2.5 V,,,,,,,,,,,,,
db_modo[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,2.5 V,,,,,,,,,,,,,
db_modo[4],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,2.5 V,,,,,,,,,,,,,
db_modo[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,2.5 V,,,,,,,,,,,,,
db_modo[2],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,2.5 V,,,,,,,,,,,,,
db_modo[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,2.5 V,,,,,,,,,,,,,
db_modo[0],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,2.5 V,,,,,,,,,,,,,
db_nota[6],Output,PIN_P9,3B,B3B_N0,PIN_P9,2.5 V,,,,,,,,,,,,,
db_nota[5],Output,PIN_Y15,4A,B4A_N0,PIN_Y15,2.5 V,,,,,,,,,,,,,
db_nota[4],Output,PIN_U15,4A,B4A_N0,PIN_U15,2.5 V,,,,,,,,,,,,,
db_nota[3],Output,PIN_U16,4A,B4A_N0,PIN_U16,2.5 V,,,,,,,,,,,,,
db_nota[2],Output,PIN_V20,4A,B4A_N0,PIN_V20,2.5 V,,,,,,,,,,,,,
db_nota[1],Output,PIN_Y20,4A,B4A_N0,PIN_Y20,2.5 V,,,,,,,,,,,,,
db_nota[0],Output,PIN_U20,4A,B4A_N0,PIN_U20,2.5 V,,,,,,,,,,,,,
db_nota_correta,Output,PIN_AA1,2A,B2A_N0,PIN_AA1,2.5 V,,,,,,,,,,,,,
db_tempo_correto,Output,PIN_W2,2A,B2A_N0,PIN_W2,2.5 V,,,,,,,,,,,,,
enter_pressed,Input,PIN_R15,5A,B5A_N0,PIN_R15,2.5 V,,,,,,,,,,,,,
ganhou,Output,PIN_N2,2A,B2A_N0,PIN_N2,2.5 V,,,,,,,,,,,,,
iniciar,Input,PIN_T15,5A,B5A_N0,PIN_T15,2.5 V,,,,,,,,,,,,,
leds[12],Output,PIN_R21,5A,B5A_N0,PIN_R21,2.5 V,,,,,,,,,,,,,
leds[11],Output,PIN_R22,5A,B5A_N0,PIN_R22,2.5 V,,,,,,,,,,,,,
leds[10],Output,PIN_N21,5B,B5B_N0,PIN_N21,2.5 V,,,,,,,,,,,,,
leds[9],Output,PIN_M21,5B,B5B_N0,PIN_M21,2.5 V,,,,,,,,,,,,,
leds[8],Output,PIN_M20,5B,B5B_N0,PIN_M20,2.5 V,,,,,,,,,,,,,
leds[7],Output,PIN_K22,5B,B5B_N0,PIN_K22,2.5 V,,,,,,,,,,,,,
leds[6],Output,PIN_K21,5B,B5B_N0,PIN_K21,2.5 V,,,,,,,,,,,,,
leds[5],Output,PIN_K20,7A,B7A_N0,PIN_K20,2.5 V,,,,,,,,,,,,,
leds[4],Output,PIN_D17,7A,B7A_N0,PIN_D17,2.5 V,,,,,,,,,,,,,
leds[3],Output,PIN_C16,7A,B7A_N0,PIN_C16,2.5 V,,,,,,,,,,,,,
leds[2],Output,PIN_M16,5B,B5B_N0,PIN_M16,2.5 V,,,,,,,,,,,,,
leds[1],Output,PIN_B16,7A,B7A_N0,PIN_B16,2.5 V,,,,,,,,,,,,,
leds[0],Output,PIN_N16,5B,B5B_N0,PIN_N16,2.5 V,,,,,,,,,,,,,
left_arrow_pressed,Input,PIN_R17,5A,B5A_N0,PIN_R17,2.5 V,,,,,,,,,,,,,
menu_sel[2],Output,PIN_J19,7A,B7A_N0,PIN_J19,2.5 V,,,,,,,,,,,,,
menu_sel[1],Output,PIN_J18,7A,B7A_N0,PIN_J18,2.5 V,,,,,,,,,,,,,
menu_sel[0],Output,PIN_H18,7A,B7A_N0,PIN_H18,2.5 V,,,,,,,,,,,,,
mostra_menu,Output,PIN_G11,7A,B7A_N0,PIN_G11,2.5 V,,,,,,,,,,,,,
perdeu,Output,PIN_Y3,2A,B2A_N0,PIN_Y3,2.5 V,,,,,,,,,,,,,
pulso_buzzer,Output,PIN_C15,7A,B7A_N0,PIN_C15,2.5 V,,,,,,,,,,,,,
reset,Input,PIN_T18,5A,B5A_N0,PIN_T18,2.5 V,,,,,,,,,,,,,
right_arrow_pressed,Input,PIN_R16,5A,B5A_N0,PIN_R16,2.5 V,,,,,,,,,,,,,
vez_jogador,Output,PIN_U1,2A,B2A_N0,PIN_U1,2.5 V,,,,,,,,,,,,,
